ProviderID,ProviderName,ProviderType,ProviderPrimaryInspectionCategory,ProviderStreetAddress,ProviderAddressLine2,ProviderCity,ProviderPostCode,ProviderLocalAuthority,ProviderRegion,Service/PopulationGroup,Domain,LatestRating,PublicationDate,ReportType,InheritedRating(Y/N),URL,BrandID,BrandName
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Acute wards for adults of working age and psychiatric intensive care units,Caring,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Acute wards for adults of working age and psychiatric intensive care units,Effective,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Acute wards for adults of working age and psychiatric intensive care units,Overall,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Acute wards for adults of working age and psychiatric intensive care units,Responsive,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Acute wards for adults of working age and psychiatric intensive care units,Safe,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Acute wards for adults of working age and psychiatric intensive care units,Well-led,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Child and adolescent mental health wards,Caring,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Child and adolescent mental health wards,Effective,Requires improvement,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Child and adolescent mental health wards,Overall,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Child and adolescent mental health wards,Responsive,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Child and adolescent mental health wards,Safe,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Child and adolescent mental health wards,Well-led,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Long stay or rehabilitation mental health wards for working age adults,Caring,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Long stay or rehabilitation mental health wards for working age adults,Effective,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Long stay or rehabilitation mental health wards for working age adults,Overall,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Long stay or rehabilitation mental health wards for working age adults,Responsive,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Long stay or rehabilitation mental health wards for working age adults,Safe,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Long stay or rehabilitation mental health wards for working age adults,Well-led,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Overall,Caring,Good,03/08/2015,Provider,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Overall,Effective,Good,03/08/2015,Provider,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Overall,Overall,Good,03/08/2015,Provider,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Overall,Responsive,Good,03/08/2015,Provider,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Overall,Safe,Good,03/08/2015,Provider,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Overall,Well-led,Good,03/08/2015,Provider,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Specialist eating disorders services,Caring,Outstanding,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Specialist eating disorders services,Effective,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Specialist eating disorders services,Overall,Outstanding,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Specialist eating disorders services,Responsive,Outstanding,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Specialist eating disorders services,Safe,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-118166459,Affinity Healthcare Limited,Independent Healthcare Org,Mental health - community & hospital - independent,Unsted Regional Office,Munstead Heath Road,Godalming,GU7 1UW,Surrey,South East,Specialist eating disorders services,Well-led,Good,03/08/2015,CoreService,N,http://www.cqc.org.uk/provider/1-118166459,BD144,BRAND Priory Group
1-127618309,PCP (Luton) Limited,Independent Healthcare Org,Residential substance misuse,17-21 Hastings Street,,Luton,LU1 5BE,Luton,East of England,Residential substance misuse services,Caring,Good,10/01/2019,CoreService,N,http://www.cqc.org.uk/provider/1-127618309,BD434,BRAND Perry Clayman Project
1-127618309,PCP (Luton) Limited,Independent Healthcare Org,Residential substance misuse,17-21 Hastings Street,,Luton,LU1 5BE,Luton,East of England,Residential substance misuse services,Effective,Good,10/01/2019,CoreService,N,http://www.cqc.org.uk/provider/1-127618309,BD434,BRAND Perry Clayman Project
1-127618309,PCP (Luton) Limited,Independent Healthcare Org,Residential substance misuse,17-21 Hastings Street,,Luton,LU1 5BE,Luton,East of England,Residential substance misuse services,Overall,Good,10/01/2019,CoreService,N,http://www.cqc.org.uk/provider/1-127618309,BD434,BRAND Perry Clayman Project
1-127618309,PCP (Luton) Limited,Independent Healthcare Org,Residential substance misuse,17-21 Hastings Street,,Luton,LU1 5BE,Luton,East of England,Residential substance misuse services,Responsive,Good,10/01/2019,CoreService,N,http://www.cqc.org.uk/provider/1-127618309,BD434,BRAND Perry Clayman Project
1-127618309,PCP (Luton) Limited,Independent Healthcare Org,Residential substance misuse,17-21 Hastings Street,,Luton,LU1 5BE,Luton,East of England,Residential substance misuse services,Safe,Requires improvement,10/01/2019,CoreService,N,http://www.cqc.org.uk/provider/1-127618309,BD434,BRAND Perry Clayman Project
1-127618309,PCP (Luton) Limited,Independent Healthcare Org,Residential substance misuse,17-21 Hastings Street,,Luton,LU1 5BE,Luton,East of England,Residential substance misuse services,Well-led,Good,10/01/2019,CoreService,N,http://www.cqc.org.uk/provider/1-127618309,BD434,BRAND Perry Clayman Project
1-1353592041,The Thornbury Radiosurgery Centre Limited,Independent Healthcare Org,Acute hospital - Independent non-specialist,BMI Thornbury Hospital,312 Fulwood Road,Sheffield,S10 3BR,Sheffield,Yorkshire and The Humber,Medical care (including older people's care),Caring,Outstanding,05/08/2019,Location,N,http://www.cqc.org.uk/provider/1-1353592041,-,-
1-1353592041,The Thornbury Radiosurgery Centre Limited,Independent Healthcare Org,Acute hospital - Independent non-specialist,BMI Thornbury Hospital,312 Fulwood Road,Sheffield,S10 3BR,Sheffield,Yorkshire and The Humber,Medical care (including older people's care),Effective,Outstanding,05/08/2019,Location,N,http://www.cqc.org.uk/provider/1-1353592041,-,-
1-1353592041,The Thornbury Radiosurgery Centre Limited,Independent Healthcare Org,Acute hospital - Independent non-specialist,BMI Thornbury Hospital,312 Fulwood Road,Sheffield,S10 3BR,Sheffield,Yorkshire and The Humber,Medical care (including older people's care),Overall,Outstanding,05/08/2019,Location,N,http://www.cqc.org.uk/provider/1-1353592041,-,-
1-1353592041,The Thornbury Radiosurgery Centre Limited,Independent Healthcare Org,Acute hospital - Independent non-specialist,BMI Thornbury Hospital,312 Fulwood Road,Sheffield,S10 3BR,Sheffield,Yorkshire and The Humber,Medical care (including older people's care),Responsive,Good,05/08/2019,Location,N,http://www.cqc.org.uk/provider/1-1353592041,-,-
1-1353592041,The Thornbury Radiosurgery Centre Limited,Independent Healthcare Org,Acute hospital - Independent non-specialist,BMI Thornbury Hospital,312 Fulwood Road,Sheffield,S10 3BR,Sheffield,Yorkshire and The Humber,Medical care (including older people's care),Safe,Good,05/08/2019,Location,N,http://www.cqc.org.uk/provider/1-1353592041,-,-
1-1353592041,The Thornbury Radiosurgery Centre Limited,Independent Healthcare Org,Acute hospital - Independent non-specialist,BMI Thornbury Hospital,312 Fulwood Road,Sheffield,S10 3BR,Sheffield,Yorkshire and The Humber,Medical care (including older people's care),Well-led,Good,05/08/2019,Location,N,http://www.cqc.org.uk/provider/1-1353592041,-,-
1-1353592041,The Thornbury Radiosurgery Centre Limited,Independent Healthcare Org,Acute hospital - Independent non-specialist,BMI Thornbury Hospital,312 Fulwood Road,Sheffield,S10 3BR,Sheffield,Yorkshire and The Humber,Overall,Caring,Outstanding,05/08/2019,Location,N,http://www.cqc.org.uk/provider/1-1353592041,-,-
1-1353592041,The Thornbury Radiosurgery Centre Limited,Independent Healthcare Org,Acute hospital - Independent non-specialist,BMI Thornbury Hospital,312 Fulwood Road,Sheffield,S10 3BR,Sheffield,Yorkshire and The Humber,Overall,Effective,Outstanding,05/08/2019,Location,N,http://www.cqc.org.uk/provider/1-1353592041,-,-
1-1353592041,The Thornbury Radiosurgery Centre Limited,Independent Healthcare Org,Acute hospital - Independent non-specialist,BMI Thornbury Hospital,312 Fulwood Road,Sheffield,S10 3BR,Sheffield,Yorkshire and The Humber,Overall,Overall,Outstanding,05/08/2019,Location,N,http://www.cqc.org.uk/provider/1-1353592041,-,-
1-1353592041,The Thornbury Radiosurgery Centre Limited,Independent Healthcare Org,Acute hospital - Independent non-specialist,BMI Thornbury Hospital,312 Fulwood Road,Sheffield,S10 3BR,Sheffield,Yorkshire and The Humber,Overall,Responsive,Good,05/08/2019,Location,N,http://www.cqc.org.uk/provider/1-1353592041,-,-
1-1353592041,The Thornbury Radiosurgery Centre Limited,Independent Healthcare Org,Acute hospital - Independent non-specialist,BMI Thornbury Hospital,312 Fulwood Road,Sheffield,S10 3BR,Sheffield,Yorkshire and The Humber,Overall,Safe,Good,05/08/2019,Location,N,http://www.cqc.org.uk/provider/1-1353592041,-,-
1-1353592041,The Thornbury Radiosurgery Centre Limited,Independent Healthcare Org,Acute hospital - Independent non-specialist,BMI Thornbury Hospital,312 Fulwood Road,Sheffield,S10 3BR,Sheffield,Yorkshire and The Humber,Overall,Well-led,Good,05/08/2019,Location,N,http://www.cqc.org.uk/provider/1-1353592041,-,-
1-1522791051,Cartello Adams Ltd,Independent Ambulance,Ambulance service,Unit 6,West Cannock Way,Hednesford,WS12 0QW,Staffordshire,West Midlands,Overall,Caring,Good,07/01/2020,Location,N,http://www.cqc.org.uk/provider/1-1522791051,-,-
1-1522791051,Cartello Adams Ltd,Independent Ambulance,Ambulance service,Unit 6,West Cannock Way,Hednesford,WS12 0QW,Staffordshire,West Midlands,Overall,Effective,Requires improvement,07/01/2020,Location,N,http://www.cqc.org.uk/provider/1-1522791051,-,-
1-1522791051,Cartello Adams Ltd,Independent Ambulance,Ambulance service,Unit 6,West Cannock Way,Hednesford,WS12 0QW,Staffordshire,West Midlands,Overall,Overall,Requires improvement,07/01/2020,Location,N,http://www.cqc.org.uk/provider/1-1522791051,-,-
1-1522791051,Cartello Adams Ltd,Independent Ambulance,Ambulance service,Unit 6,West Cannock Way,Hednesford,WS12 0QW,Staffordshire,West Midlands,Overall,Responsive,Good,07/01/2020,Location,N,http://www.cqc.org.uk/provider/1-1522791051,-,-
1-1522791051,Cartello Adams Ltd,Independent Ambulance,Ambulance service,Unit 6,West Cannock Way,Hednesford,WS12 0QW,Staffordshire,West Midlands,Overall,Safe,Requires improvement,07/01/2020,Location,N,http://www.cqc.org.uk/provider/1-1522791051,-,-
1-1522791051,Cartello Adams Ltd,Independent Ambulance,Ambulance service,Unit 6,West Cannock Way,Hednesford,WS12 0QW,Staffordshire,West Midlands,Overall,Well-led,Inadequate,07/01/2020,Location,N,http://www.cqc.org.uk/provider/1-1522791051,-,-
1-1522791051,Cartello Adams Ltd,Independent Ambulance,Ambulance service,Unit 6,West Cannock Way,Hednesford,WS12 0QW,Staffordshire,West Midlands,Patient transport services,Caring,Good,07/01/2020,Location,N,http://www.cqc.org.uk/provider/1-1522791051,-,-
1-1522791051,Cartello Adams Ltd,Independent Ambulance,Ambulance service,Unit 6,West Cannock Way,Hednesford,WS12 0QW,Staffordshire,West Midlands,Patient transport services,Effective,Requires improvement,07/01/2020,Location,N,http://www.cqc.org.uk/provider/1-1522791051,-,-
1-1522791051,Cartello Adams Ltd,Independent Ambulance,Ambulance service,Unit 6,West Cannock Way,Hednesford,WS12 0QW,Staffordshire,West Midlands,Patient transport services,Overall,Requires improvement,07/01/2020,Location,N,http://www.cqc.org.uk/provider/1-1522791051,-,-
1-1522791051,Cartello Adams Ltd,Independent Ambulance,Ambulance service,Unit 6,West Cannock Way,Hednesford,WS12 0QW,Staffordshire,West Midlands,Patient transport services,Responsive,Good,07/01/2020,Location,N,http://www.cqc.org.uk/provider/1-1522791051,-,-
1-1522791051,Cartello Adams Ltd,Independent Ambulance,Ambulance service,Unit 6,West Cannock Way,Hednesford,WS12 0QW,Staffordshire,West Midlands,Patient transport services,Safe,Requires improvement,07/01/2020,Location,N,http://www.cqc.org.uk/provider/1-1522791051,-,-
1-1522791051,Cartello Adams Ltd,Independent Ambulance,Ambulance service,Unit 6,West Cannock Way,Hednesford,WS12 0QW,Staffordshire,West Midlands,Patient transport services,Well-led,Inadequate,07/01/2020,Location,N,http://www.cqc.org.uk/provider/1-1522791051,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,Community health inpatient services,Caring,Good,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,Community health inpatient services,Effective,Requires improvement,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,Community health inpatient services,Overall,Requires improvement,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,Community health inpatient services,Responsive,Requires improvement,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,Community health inpatient services,Safe,Requires improvement,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,Community health inpatient services,Well-led,Requires improvement,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,Community health services for adults,Caring,Outstanding,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,Community health services for adults,Effective,Good,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,Community health services for adults,Overall,Good,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,Community health services for adults,Responsive,Good,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,Community health services for adults,Safe,Good,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,Community health services for adults,Well-led,Good,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,"Community health services for children, young people and families",Caring,Good,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,"Community health services for children, young people and families",Effective,Good,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,"Community health services for children, young people and families",Overall,Good,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,"Community health services for children, young people and families",Responsive,Good,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
1-165291700,Anglian Community Enterprise Community Interest Company (ACE CIC),Independent Healthcare Org,Community health - NHS & Independent,659-662 The Crescent,Colchester Business Park,Colchester,CO4 9YQ,Essex,East of England,"Community health services for children, young people and families",Safe,Good,26/04/2017,CoreService,N,http://www.cqc.org.uk/provider/1-165291700,-,-
